Gem Type,Variety,Carat Weight (ct),Cut/Shape,Colour,Clarity,Treatments,Asking Price (LKR),Final Selling Price (if available),"Dimensions (LxWxH, mm)",Certification Status,Date
Cobalt Spinel,Blue,1.48,Mixed Brilliant Oval,Blue,Very Slightly Included,No Enhancement,195000.0,,7.49 x 6.11 x 4.46,Certified by Natural Sapphire Company,2025-09-08
Chrysoberyl,Greenish Yellow,1.97,Mixed Brilliant Pear,Greenish Yellow,Very Slightly Included,No Enhancement,44850.0,,9.78 x 6.21 x 4.56,Certified by Natural Sapphire Company,2025-09-08
Chrysoberyl,Greenish Yellow,1.96,Mixed Brilliant Oval,Greenish Yellow,Very Slightly Included,No Enhancement,44525.0,,8.42 x 7.09 x 4.37,Certified by Natural Sapphire Company,2025-09-08
Zircon,Green,9.52,Radiant Cut Radiant,Green,Very Slightly Included,Heat Treated,829075.0,,13.8 x 10.11 x 6.13,Certified by Natural Sapphire Company,2025-09-08
Amethyst,Purple,2.18,Trillion Cut Trillion,Purple,Very Slightly Included,Heat Treated,7150.0,,9.07 x 9.37 x 5.67,Certified by Natural Sapphire Company,2025-09-08
Moonstone,Blue Flash,6.55,Cabochon Oval,Blue Flash,Eye Clean,No Enhancement,32500.0,,15.8 x 8.55 x 6.13,Certified by Natural Sapphire Company,2025-09-08
Moonstone,Brown,12.38,Cabochon Oval,Brown,Very Slightly Included,No Enhancement,40300.0,,17.26 x 13.79 x 7.18,Certified by Natural Sapphire Company,2025-09-08
Moonstone,Grey,28.61,Cabochon Round,Grey,Very Very Slightly Included,No Enhancement,130325.0,,21.57 x 21.54 x 7.99,Certified by Natural Sapphire Company,2025-09-08
Moonstone,Grey,35.16,Cabochon Oval,Grey,Very Very Slightly Included,No Enhancement,159900.0,,27.88 x 20.14 x 8.72,Certified by Natural Sapphire Company,2025-09-08
Moonstone,Grey,153.83,Cabochon Oval,Grey,Very Slightly Included,No Enhancement,499850.0,,14.52 x 12.48 x 11.65,Certified by Natural Sapphire Company,2025-09-08
Moonstone,Green,15.39,Cabochon Oval,Green,Very Slightly Included,No Enhancement,29900.0,,16.69 x 14.15 x 8.87,Certified by Natural Sapphire Company,2025-09-08
Garnet,Red,2.5,Checkerboard Round,Red,Very Slightly Included,Heat Treated,40625.0,,8.02 x 8.04 x 5.43,Certified by Natural Sapphire Company,2025-09-08
Garnet,Red,3.35,Checkerboard Oval,Red,Eye Clean,Heat Treated,163475.0,,10.22 x 8.12 x 5.35,Certified by Natural Sapphire Company,2025-09-08
Moonstone,White,6.47,Cabochon Oval,White,Very Very Slightly Included,No Enhancement,21125.0,,16.05 x 9.57 x 5.6,Certified by Natural Sapphire Company,2025-09-08
Alexandrite,Yellowish Green to Reddish Green,1.0,Mixed Brilliant Oval,Yellowish Green to Reddish Green,Very Very Slightly Included,No Enhancement,442000.0,,7.17 x 5.57 x 3.07,Certified by Natural Sapphire Company,2025-09-08
Amethyst,Purple,24.97,Mixed Brilliant Pear,Purple,Eye Clean,No Enhancement,175500.0,,24.63 x 18.1 x 11.63,Certified by Natural Sapphire Company,2025-09-08
Moonstone,White,37.16,Cabochon Oval,White,Very Very Slightly Included,No Enhancement,169000.0,,25.15 x 8.01 x 11.36,Certified by Natural Sapphire Company,2025-09-08
Rubellite Tourmaline,Pinkish Red,1.71,Mixed Brilliant Pear,Pinkish Red,Very Slightly Included,Heat Treated,311350.0,,9.85 x 6.43 x 4.57,Certified by Natural Sapphire Company,2025-09-08
Zircon,Greenish Brown,3.1,Mixed Brilliant Round,Greenish Brown,Very Slightly Included,Heat Treated,151125.0,,9.44 x 9.46 x 5.15,Certified by Natural Sapphire Company,2025-09-08
Cobalt Spinel,Blue,0.82,Mixed Brilliant Round,Blue,Very Very Slightly Included,No Enhancement,266500.0,,5.55 x 5.57 x 3.63,Certified by Natural Sapphire Company,2025-09-08
Chrysoberyl,Green,2.25,Mixed Brilliant Oval,Green,Very Slightly Included,No Enhancement,228150.0,,9.44 x 7.27 x 3.88,Certified by Natural Sapphire Company,2025-09-08
Rhodolite Garnet,Purplish Pink,0.92,Mixed Brilliant Oval,Purplish Pink,Very Slightly Included,No Enhancement,35750.0,,6.51 x 5.37 x 3.41,Certified by Natural Sapphire Company,2025-09-08
Moonstone,White,0.47,Mixed Brilliant Heart,White,Very Slightly Included,No Enhancement,48750.0,,4.79 x 5.35 x 3.61,Certified by Natural Sapphire Company,2025-09-08
Zircon,Purplish Red,3.0,Mixed Brilliant Pear,Purplish Red,Slightly Included,No Enhancement,39000.0,,10.63 x 7.36 x 4.39,Certified by Natural Sapphire Company,2025-09-08
Chrysoberyl,Greenish Yellow,2.5,Mixed Brilliant Marquise,Greenish Yellow,Very Slightly Included,No Enhancement,97500.0,,15.0 x 5.76 x 3.84,Certified by Natural Sapphire Company,2025-09-08
Moonstone,White,5.66,Cabochon Oval,White,Very Very Slightly Included,No Enhancement,18525.0,,11.44 x 9.14 x 7.2,Certified by Natural Sapphire Company,2025-09-08
Garnet,Pinkish Purple,1.12,Radiant Cut Radiant,Pinkish Purple,Very Slightly Included,No Enhancement,19500.0,,6.46 x 4.94 x 3.74,Certified by Natural Sapphire Company,2025-09-08
Rhodolite Garnet,Red,10.11,Mixed Brilliant Oval,Red,Eye Clean,No Enhancement,1519700.0,,15.2 x 11.41 x 6.53,Certified by Natural Sapphire Company,2025-09-08
Chrysoberyl,Greenish Brown,4.13,Emerald Cut Emerald Cut,Greenish Brown,Eye Clean,Heat Treated,590525.0,,11.75 x 8.46 x 4.62,Certified by Natural Sapphire Company,2025-09-08
Garnet,Red,2.25,Radiant Cut Radiant,Red,Eye Clean,No Enhancement,58500.0,,8.57 x 5.51 x 4.8,Certified by Natural Sapphire Company,2025-09-08
Rhodolite Garnet,Pinkish Purple,1.05,Mixed Brilliant Oval,Pinkish Purple,Eye Clean,No Enhancement,54600.0,,7.58 x 5.42 x 3.07,Certified by Natural Sapphire Company,2025-09-08
Tourmaline,Green,5.06,Buff top Fancy,Green,Eye Clean,No Enhancement,164450.0,,13.14 x 11.47 x 5.76,Certified by Natural Sapphire Company,2025-09-08
Moonstone,White,5.66,Cabochon Round,White,Very Slightly Included,No Enhancement,48750.0,,10.89 x 11.02 x 6.64,Certified by Natural Sapphire Company,2025-09-08
Moonstone,Orange,11.43,Cabochon Oval,Orange,Eye Clean,No Enhancement,52000.0,,16.11 x 12.01 x 7.94,Certified by Natural Sapphire Company,2025-09-08
Alexandrite,Green to Brown,0.56,Mixed Brilliant Oval,Green to Brown,Very Very Slightly Included,No Enhancement,227500.0,,5.59 x 3.88 x 2.91,Certified by Natural Sapphire Company,2025-09-08
