name,price_text,price_value,currency,gem_type,weight_carat,clarity,size_mm,colour,shape_cut,treatment,collected_at
1.05ct Natural Pink Sapphire,"Rs 145,000.00",145000.0,LKR,Natural Pink Sapphire,1.05,EC,6.4 x 5 x 3 mm,Medium Pink,Emerald Cut,Heated,2025-09-01T12:56:48.943521+00:00
1.03ct Natural Pink Sapphire,"Rs 145,000.00",145000.0,LKR,Natural Pink Sapphire,1.03,EC,5.7 x 5.6 x 3.1 mm,Vivid Pink,Cushion,Heated,2025-09-01T12:56:55.705719+00:00
1.09ct Natural Pink Sapphire,"Rs 167,300.00",167300.0,LKR,Natural Pink Sapphire,1.09,EC,6.5 x 5.4 x 3.3 mm,Vivid Pink,Cushion,Heated,2025-09-01T12:57:03.403357+00:00
1.12ct Natural Pink Sapphire,"Rs 178,400.00",178400.0,LKR,Natural Pink Sapphire,1.12,EC,6.8 x 5.3 x 3.1 mm,Hot Pink,Cushion,Heated,2025-09-01T12:57:10.161626+00:00
1.36ct Natural Pink Sapphire,"Rs 468,300.00",468300.0,LKR,Natural Pink Sapphire,1.36,EC,6.3 x 5.9 x 4.2 mm,Hot Pink,Cushion,Heated,2025-09-01T12:57:16.367412+00:00
1.44ct Natural Pink Sapphire,"Rs 211,900.00",211900.0,LKR,Natural Pink Sapphire,1.44,EC,7.9 x 5.2 x 3.5 mm,Medium,Cushion,Heated,2025-09-01T12:57:23.897474+00:00
1.80ct Natural Pink Sapphire,"Rs 691,200.00",691200.0,LKR,Natural Pink Sapphire,1.80,EC,,Vivid Pink,Cushion,Heated,2025-09-01T12:57:32.021500+00:00
2.17ct Natural Pink Sapphire,"Rs 668,900.00",668900.0,LKR,Natural Pink Sapphire,2.17,EC,,Pinkish Purple,Cushion,Heated,2025-09-01T12:57:40.483609+00:00
1.54ct Natural Pink Sapphire,"Rs 501,700.00",501700.0,LKR,Natural Pink Sapphire,1.54,EC,,Hot Pink,Oval,Heated,2025-09-01T12:57:50.926769+00:00
1.65ct Natural Pink Sapphire,"Rs 323,300.00",323300.0,LKR,Natural Pink Sapphire,1.65,EC,,Pink,Oval,Heated,2025-09-01T12:58:08.437340+00:00
1.95ct Natural Pink Sapphire,"Rs 903,000.00",903000.0,LKR,Natural Pink Sapphire,1.95,EC,,Vivid Pink,Oval,Heated,2025-09-01T12:58:21.451232+00:00
1.52ct Natural Unheated Pink Sapphire,"Rs 590,900.00",590900.0,LKR,Natural Unheatded Pink Sapphire,1.52,EC,,Vivid Pink,Oval,Heated,2025-09-01T12:58:29.594180+00:00
2.48ct Natural Pink Sapphire,"Rs 758,100.00",758100.0,LKR,Natural Pink Sapphire,2.48,EC,8.2 x 5.2 mm,Vivid Pink,Oval,Heated,2025-09-01T12:58:36.906322+00:00
2.63ct Natural Pink Sapphire,"Rs 1,415,800.00",1415800.0,LKR,Natural Pink Sapphire,2.63,EC,8.7 x 7.5 mm,Medium Pink,Oval,Heated,2025-09-01T12:58:45.480756+00:00
1.00ct Natural Pink Sapphire,"Rs 156,100.00",156100.0,LKR,Natural Pink Sapphire,1.00,EC,7 x 5.1 x 3.5 mm,Medium Pink,Oval,Heated,2025-09-01T12:58:53.017065+00:00
1.06ct Natural Pink Sapphire,"Rs 245,300.00",245300.0,LKR,Natural Pink Sapphire,1.06,EC,7 x 5.2 x 3.3 mm,Medium Pink,Oval,Heated,2025-09-01T12:59:00.490335+00:00
1.07ct Natural Pink Sapphire,"Rs 167,300.00",167300.0,LKR,Natural Pink Sapphire,1.07,EC,5.6 x 7.8 x 2.8 mm,Medium Pink,Oval,Heated,2025-09-01T12:59:08.632619+00:00
1.08ct Natural Pink Sapphire,"Rs 334,500.00",334500.0,LKR,Natural Pink Sapphire,1.08,LC,7.5 x 4.8 x 3.4 mm,Medium Pink,Oval,Heated,2025-09-01T12:59:16.234982+00:00
1.15ct Natural Pink Sapphire,"Rs 178,400.00",178400.0,LKR,Natural Pink Sapphire,1.15,EC,6.3 x 5.3 x 4.3 mm,Medium Pink,Oval,Heated,2025-09-01T12:59:24.821584+00:00
1.15ct Natural Pink Sapphire,"Rs 267,600.00",267600.0,LKR,Natural Pink Sapphire,1.15,EC,6.7 x 5.8 x 3.3 mm,Vivid Pink,Oval,Heated,2025-09-01T12:59:33.722359+00:00
1.20ct Natural Pink Sapphire,"Rs 189,600.00",189600.0,LKR,Natural Pink Sapphire,1.20,EC,7.4 x 5.8 x 3.4mm,Medium Pink,Oval,Heated,2025-09-01T12:59:42.555351+00:00
1.24ct Natural Pink Sapphire,"Rs 568,600.00",568600.0,LKR,Natural Pink Sapphire,1.24,EC,7.7 x 5.7 x 3mm,Vivid Pink,Oval,Heated,2025-09-01T12:59:51.514686+00:00
2.18ct Natural Unheated Pink Sapphire,"Rs 1,650,000.00",1650000.0,LKR,Natural Unheated Pink Sapphire,2.18,LC,9.1x6.4x4.1mm,Vivid Pink,Oval,Unheated,2025-09-01T12:59:58.635346+00:00
2.05ct Natural Unheated Pink Sapphire,"Rs 579,700.00",579700.0,LKR,Natural Unheated Pink Sapphire,2.05,LC,9.1x7.0x3.4mm,Vivid Pink,Oval,Unheated,2025-09-01T13:00:05.850885+00:00
1.55ct Natural Unheated Pink Sapphire,"Rs 432,600.00",432600.0,LKR,Natural Unheated Pink Sapphire,1.55,LC,7.6x6.7x3.2mm,Pink,Oval,Unheated,2025-09-01T13:00:12.686350+00:00
1.56ct Natural Unheated Pink Sapphire,"Rs 434,800.00",434800.0,LKR,Natural Unheated Pink Sapphire,.1.56,,8.6x6x3.4 mm,Pink,Pear,Unheated,2025-09-01T13:00:20.956044+00:00
2.20ct Natural Pink Sapphire,"Rs 735,800.00",735800.0,LKR,Natural Pink Sapphire,2.20,,8.4 x6.7 mm,Pink Spphire,Cushion,,2025-09-01T13:00:30.212281+00:00
2.19ct Natural Unheated Pink Sapphire,"Rs 825,000.00",825000.0,LKR,Natural Unheated Pink Sapphire,2.19,,9.4 x6.5 x4.1 mm,Pink Spphire,Oval,Unheated,2025-09-01T13:00:38.215838+00:00
2.45ct Natural Pink Sapphire,"Rs 410,300.00",410300.0,LKR,Natural Pink Sapphire,2.45,,9x7 mm,Medium Pink,Oval,,2025-09-01T13:00:45.428972+00:00
1.64ct Natural Pink Sapphire,"Rs 365,700.00",365700.0,LKR,Natural Pink Sapphire,1.64,,8.1 x6.1 mm,Pink,Oval,,2025-09-01T13:00:51.881157+00:00
0.70ct Natural Unheated Pink Sapphire,"Rs 289,900.00",289900.0,LKR,Natural Unheated Pink Sapphire,0.70,,5 mm,Pink,Cushion,Unheated,2025-09-01T13:01:00.516440+00:00
1.45ct Natural Ruby,"Rs 401,400.00",401400.0,LKR,Natural Ruby,1.45,,6.4x5.5x4.3 mm,Vivid Red,Cushion,,2025-09-01T13:01:08.598749+00:00
1.33ct Natural Ruby,"Rs 446,000.00",446000.0,LKR,Natural Ruby,1.33,,6.1 mm,Vivid Red,Round,,2025-09-01T13:01:15.177273+00:00
1.20ct Natural Pink Sapphire 2 pcs,"Rs 138,300.00",138300.0,LKR,Natural Pink Sapphire,1.20,EC,5 × 4 mm,,Cushion,,2025-09-01T13:01:31.277425+00:00
1.04ct Natural Pink Sapphire 2 pcs,"Rs 150,800.00",150800.0,LKR,Natural Pink Sapphire,1.04,EC,6.0 × 4.5 mm,,Pear,,2025-09-01T13:01:40.176689+00:00
1.33ct Natural Pink Sapphire 2 pcs,"Rs 191,800.00",191800.0,LKR,Natural Pink Sapphire,1.33,EC,6.0 × 4.5 mm,,Pear,,2025-09-01T13:01:49.881282+00:00
1.65ct Natural Pink Sapphire 2 pcs,"Rs 238,600.00",238600.0,LKR,Natural Pink Sapphire,1.65,EC,6.7 × 4.5 mm,,Oval,,2025-09-01T13:01:58.830288+00:00
9.05ct Natural Pink Sapphire,"Rs 1,311,100.00",1311100.0,LKR,Natural Pink Sapphire,9.05,,,Peach,Baguette,,2025-09-01T13:02:08.472979+00:00
1.58ct Natural Pink Sapphire Pair,"Rs 274,300.00",274300.0,LKR,Natural Pink Sapphire,1.58,LC,7 × 5 mm,Pink,Pear,,2025-09-01T13:02:16.083225+00:00
6.66ct Natural Pink Sapphire,"Rs 267,600.00",267600.0,LKR,Natural Pink Sapphire,6.66,EC,4.0mm,Vivid Pink,Trillion,,2025-09-01T13:02:24.398281+00:00
1.21ct Natural Unheated Pink Sapphire,"Rs 468,300.00",468300.0,LKR,Natural Pink Sapphire,1.21,EC,5.5mm,Vivid Pink,Round,Unheated,2025-09-01T13:02:32.168010+00:00
1.05ct Natural Unheated Pink Sapphire,"Rs 281,000.00",281000.0,LKR,Natural Unheated Pink Sapphire,1.05,EC,5.2mm,Vivid Pink,Round,Unheated,2025-09-01T13:02:39.657177+00:00
1.28ct Natural Unheated Pink Sapphire pair,"Rs 267,600.00",267600.0,LKR,Natural Pink Sapphire,1.28,EC,5mm,Hot Pink,Round,Unheated,2025-09-01T13:02:47.844884+00:00
1.70ct Natural Pink Sapphire,"Rs 390,200.00",390200.0,LKR,Natural Pink Sapphire,1.70,EC,9. 2x6.6x4.1mm,Hot Pink,Pear,Unheated,2025-09-01T13:02:54.985339+00:00
1.41ct Natural Unheated Ruby,"Rs 702,400.00",702400.0,LKR,Natural Unheated Ruby,1.41,,7x5.1 mm,Vivid Red,Cushion,Unheated,2025-09-01T13:03:03.255152+00:00
2.65ct Natural Pink Sapphire,"Rs 468,300.00",468300.0,LKR,Natural Pink Sapphire,2.65,,9.8 x6.8 mm,Pink,Cushion,,2025-09-01T13:03:11.455616+00:00
1.45ct Natural Pink Sapphire,"Rs 780,400.00",780400.0,LKR,Natural Pink Sapphire,1.45,LC,,Vivid Pink,Oval,Heated,2025-09-01T13:03:24.457920+00:00
1.05ct Natural Unheated Pink Sapphire,"Rs 245,300.00",245300.0,LKR,Natural Pink Sapphire,1.05,EC,5.0mm,Vivid Pink,Round,Unheated,2025-09-01T13:03:30.444728+00:00
1.22ct Natural Pink Sapphire,"Rs 686,800.00",686800.0,LKR,Natural Pink Sapphire,1.22,EC,,Vivid Pink,Oval,Unheated,2025-09-01T13:03:37.291372+00:00
1.41ct Natural Unheated Ruby,"Rs 702,400.00",702400.0,LKR,Natural Unheated Ruby,1.41,,7x5.1 mm,Vivid Red,Cushion,Unheated,2025-09-01T13:03:44.835988+00:00
3.09ct Natural Blue Sapphire,"Rs 1,214,300.00",1214300.0,LKR,Natural Blue Sapphire,3.09,EC,10.10 x 7.40 x 5.30 mm,Medium Blue,Pear,Heated,2025-09-01T11:46:07.916962+00:00
2.56ct Natural Blue Sapphire,"Rs 802,100.00",802100.0,LKR,Natural Blue Sapphire,2.56,EC,9.00 x 7.00 mm,Medium Blue,Oval,Heated,2025-09-01T11:46:20.624153+00:00
2.69ct Natural Blue Sapphire,"Rs 1,893,800.00",1893800.0,LKR,Natural Blue Sapphire,2.69,EC,8.1 mm,Medium Blue,Round,Heated,2025-09-01T11:46:27.773042+00:00
2.87ct Natural Blue Sapphire,"Rs 902,400.00",902400.0,LKR,Natural Blue Sapphire,2.87,LC,8.50 x 7.20 x 5.00 mm,Light Blue,Oval,Heated,2025-09-01T11:46:34.916199+00:00
2.64ct Natural Blue Sapphire,"Rs 623,900.00",623900.0,LKR,Natural Blue Sapphire,2.64,EC,8.9 x 7.9mm,Medium Blue,Cushion,Heated,2025-09-01T11:46:41.819614+00:00
2.54ct Natural Blue Sapphire,"Rs 1,002,600.00",1002600.0,LKR,Natural Blue Sapphire,2.54,EC,9.00 x 6.20 x 4.60mm,Cornflower Blue,Oval,Heated,2025-09-01T11:46:48.836634+00:00
1.73ct Natural Blue Sapphire,"Rs 1,615,300.00",1615300.0,LKR,Natural Blue Sapphire,1.73,EC,8.40 x 6.10 x 3.90mm,Cornflower Blue,Oval,Heated,2025-09-01T11:46:56.032301+00:00
2.28ct Natural Blue Sapphire,"Rs 1,440,900.00",1440900.0,LKR,Natural Blue Sapphire,2.28,EC,9.50 x 6.20 x 5.00mm,Royal Blue,Pear,Heated,2025-09-01T11:47:01.225572+00:00
1.66ct Natural Blue Sapphire,"Rs 590,500.00",590500.0,LKR,Natural Blue Sapphire,1.66,LC,7.50 x 6.10mm,Blue,Cushion,Heated,2025-09-01T11:47:09.028225+00:00
2.19ct Natural Unheated Blue Sapphire,"Rs 1,038,300.00",1038300.0,LKR,Natural Unheated Blue Sapphire,2.19,EC,8.20 x 7.90 x 4.50mm,Royal Blue,Pear,Unheated,2025-09-01T11:47:15.268376+00:00
5.08ct Natural Blue Sapphire,"Rs 2,227,800.00",2227800.0,LKR,Natural Blue Sapphire,5.08,LC,13.8 x 8.01 x 4.9mm,Dark Blue,Fancy,Heated,2025-09-01T11:47:23.011401+00:00
1.61ct Natural Unheated Blue Sapphire,"Rs 857,800.00",857800.0,LKR,Natural Unheated Blue Sapphire,1.61,LC,6.9 x 5.7 x 4.8mm,Blue,Cushion,Unheated,2025-09-01T11:47:30.684757+00:00
2.18ct Natural Unheated Blue Sapphire,"Rs 746,400.00",746400.0,LKR,Natural Unheated Blue Sapphire,2.18,EC,7.5 x 7.3mm,Blue,Cushion,Unheated,2025-09-01T11:47:37.130255+00:00
3.56ct Natural Unheated Blue Sapphire,"Rs 2,227,800.00",2227800.0,LKR,Natural Unheated Blue Sapphire,3.56,EC,8.8 x 8.64 x 4.83mm,Cornflower Blue,Cushion,Unheated,2025-09-01T11:47:43.034140+00:00
1.16ct Natural Blue Sapphire,"Rs 584,900.00",584900.0,LKR,Natural Blue Sapphire,1.16,LC,8.41 x 5.47 x 3.2mm,Royal Blue,Pear,Heated,2025-09-01T11:47:48.821880+00:00
1.01ct Natural Unheated Blue Sapphire,"Rs 768,700.00",768700.0,LKR,Natural Unheated Blue Sapphire,1.01,EC,6.2mm,Royal Blue,Round,Unheated,2025-09-01T11:47:55.019257+00:00
1.08ct Natural Unheated Blue Sapphire,"Rs 501,300.00",501300.0,LKR,Natural Unheated Blue Sapphire,1.08,EC,7.8 x 5.36 x 3.23mm,Royal Blue,Oval,Unheated,2025-09-01T11:48:03.446310+00:00
1.36ct Natural Unheated Blue Sapphire,"Rs 935,800.00",935800.0,LKR,Natural Unheated Blue Sapphire,1.36,EC,8.2 x 6mm,Cornflower Blue,Oval,Unheated,2025-09-01T11:48:10.507058+00:00
2.14ct Natural Unheated Blue Sapphire,"Rs 1,303,400.00",1303400.0,LKR,Natural Unheated Blue Sapphire,2.14,EC,9 x 6.7 x 3.7mm,Cornflower Blue,Oval,Unheated,2025-09-01T11:48:17.641243+00:00
1.61ct Natural Unheated Blue Sapphire,"Rs 980,300.00",980300.0,LKR,Natural Unheated Blue Sapphire,1.61,LC,8.7 x 5.9 x 3.5mm,Cornflower Blue,Oval,Unheated,2025-09-01T11:48:24.991751+00:00
1.71ct Natural Unheated Blue Sapphire,"Rs 779,800.00",779800.0,LKR,Natural Unheated Blue Sapphire,1.71,EC,7.9 x 6.4 x 4.5mm,Blue,Oval,Unheated,2025-09-01T11:48:32.196806+00:00
2.04ct Natural Unheated Blue Sapphire,"Rs 1,013,800.00",1013800.0,LKR,Natural Unheated Blue Sapphire,2.04,EC,8.7 x 7 x 3.7mm,Cornflower Blue,Oval,Unheated,2025-09-01T11:48:38.390925+00:00
1.96ct Natural Unheated Blue Sapphire,"Rs 1,348,000.00",1348000.0,LKR,Natural Unheated Blue Sapphire,1.96,EC,6.5 mm,Cornflower Blue,Round,Unheated,2025-09-01T11:48:44.178990+00:00
2.23ct Natural Unheated Blue Sapphire,"Rs 1,492,800.00",1492800.0,LKR,Natural Unheated Blue Sapphire,2.23,EC,6.8 mm,Cornflower Blue,Round,Unheated,2025-09-01T11:48:52.069380+00:00
2.23ct Natural Unheated Blue Sapphire,"Rs 857,800.00",857800.0,LKR,Natural Unheated Blue Sapphire,2.23,EC,9.07 x 7.08 x 4.08 mm,Cornflower Blue,Oval,Unheated,2025-09-01T11:49:08.586093+00:00
2.37ct Natural Unheated Blue Sapphire,"Rs 813,200.00",813200.0,LKR,Natural Unheated Blue Sapphire,2.37,EC,8.99 x 6.37 x 4.54 mm,Medium Blue,Oval,Unheated,2025-09-01T11:49:14.093021+00:00
2.57ct Natural Unheated Blue Sapphire,"Rs 1,180,900.00",1180900.0,LKR,Natural Unheated Blue Sapphire,2.57,EC,8.7x 6.4 x 4.7 mm,Medium Blue,Oval,Unheated,2025-09-01T11:49:21.100638+00:00
2.66ct Natural Unheated Blue Sapphire,"Rs 1,013,800.00",1013800.0,LKR,Natural Unheated Blue Sapphire,2.66,EC,9.02 x 6.86 x 5.12 mm,Medium Blue,Oval,Unheated,2025-09-01T11:49:29.541789+00:00
2.71ct Natural Unheated Blue Sapphire,"Rs 1,648,700.00",1648700.0,LKR,Natural Unheated Blue Sapphire,2.71,EC,9.5 x 6.8 x4.4 mm,Change Blue To Purple,Oval,Unheated,2025-09-01T11:49:34.920602+00:00
2.75ct Natural Unheated Blue Sapphire,"Rs 1,047,200.00",1047200.0,LKR,Natural Unheated Blue Sapphire,2.75,EC,9.87 x 6.9 x 4.19 mm,Medium Blue,Oval,Unheated,2025-09-01T11:49:41.199008+00:00
3.66ct Natural Unheated Blue Sapphire,"Rs 1,960,600.00",1960600.0,LKR,Natural Unheated Blue Sapphire,3.66,EC,9.81 x 8.21 x 5.45 mm,Cornflower Blue,Oval,Unheated,2025-09-01T11:49:46.729702+00:00
2.48ct Natural Blue Sapphire,"Rs 1,645,800.00",1645800.0,LKR,Natural Blue Sapphire,2.48,LC,8.89 x 6.44 x 4.86 mm,Cornflower Blue,Cushion,Heated,2025-09-01T11:49:53.855916+00:00
1.84ct Natural Blue Sapphire,"Rs 1,017,300.00",1017300.0,LKR,Natural Blue Sapphire,1.84,LC,8.20 x 5.79 x 4.05 mm,Royal Blue,Cushion,Heated,2025-09-01T11:49:59.608357+00:00
4.99ct Natural Blue Sapphire,"Rs 2,227,800.00",2227800.0,LKR,Natural Blue Sapphire,4.99,EC,9.9 x 7.3 x 6.9mm,Royal Blue,Cushion,Heated,2025-09-01T11:50:05.657611+00:00
2.23ct Natural Blue Sapphire,"Rs 1,114,000.00",1114000.0,LKR,Natural Blue Sapphire,2.23,EC,8.9 x 7 x 4.6mm,Royal Blue,Pear,Heated,2025-09-01T11:50:12.206372+00:00
2.08ct Natural Blue Sapphire,"Rs 1,648,700.00",1648700.0,LKR,Natural Blue Sapphire,2.08,LC,8.8 x 6.72 x 3.89mm,Cornflower Blue,Cushion,Heated,2025-09-01T11:50:17.670073+00:00
2.03ct Natural Blue Sapphire,"Rs 1,303,400.00",1303400.0,LKR,Natural Blue Sapphire,2.03,EC,8.22 x 5.22 x 4.7mm,Cornflower Blue,Cushion,Heated,2025-09-01T11:50:23.278627+00:00
2.07ct Natural Blue Sapphire,"Rs 817,500.00",817500.0,LKR,Natural Blue Sapphire,2.07,EC,8.5 x 6.4 x 3.6mm,Royal Blue,Cushion,Heated,2025-09-01T11:50:30.127539+00:00
2.14ct Natural Blue Sapphire,"Rs 1,014,200.00",1014200.0,LKR,Natural Blue Sapphire,2.14,EC,8.2 x 6.01 x 4.92mm,Cornflower Blue,Cushion,Heated,2025-09-01T11:50:36.023812+00:00
2.80ct Natural Blue Sapphire,"Rs 2,127,700.00",2127700.0,LKR,Natural Blue Sapphire,2.8,LC,9.18 x 6.6 x 5.19mm,Cornflower Blue,Cushion,Heated,2025-09-01T11:50:42.687022+00:00
1.09ct Natural Unheated Blue Sapphire,"Rs 423,400.00",423400.0,LKR,Natural Unheated Blue Sapphire,1.09,EC,7.15 x 5.02 x 3.6mm,Cornflower Blue,Step Cut,Unheated,2025-09-01T11:50:50.582826+00:00
3.22ct Natural Blue Sapphire,"Rs 245,100.00",245100.0,LKR,Natural Blue Sapphire,3.22,EC,9.7 x 6.5 x 4.7mm,Medium Blue,Cabochon,Heated,2025-09-01T11:50:57.961843+00:00
1.02ct Natural Blue Sapphire,"Rs 389,900.00",389900.0,LKR,Natural Blue Sapphire,1.02,EC,6.32 x 5.13 x 3.58 mm,Cornflower Blue,Oval,Heated,2025-09-01T11:51:04.787677+00:00
0.97ct Natural Blue Sapphire,"Rs 267,400.00",267400.0,LKR,Natural Blue Sapphire,0.97,EC,6.5 x 5.2 mm,Royal Blue,Oval,Heated,2025-09-01T11:51:11.891012+00:00
0.95ct Natural Blue Sapphire,"Rs 367,700.00",367700.0,LKR,Natural Blue Sapphire,0.95,LC,7.1 x 5.9 mm,Royal Blue,Oval,Heated,2025-09-01T11:51:19.290333+00:00
1.04ct Natural Blue Sapphire,"Rs 245,100.00",245100.0,LKR,Natural Blue Sapphire,1.04,EC,6.4 x 5.3 mm,Royal Blue,Oval,Heated,2025-09-01T11:51:27.303860+00:00
1.09ct Natural Blue Sapphire,"Rs 289,700.00",289700.0,LKR,Natural Blue Sapphire,1.09,EC,6.8x 5 x 3.6 mm,Blue,Oval,Heated,2025-09-01T11:51:33.749030+00:00
1.14ct Natural Blue Sapphire,"Rs 434,500.00",434500.0,LKR,Natural Blue Sapphire,1.14,EC,7.6 x 5 x 3.2 mm,Royal Blue,Oval,Heated,2025-09-01T11:51:41.929657+00:00
1.20ct Natural Blue Sapphire,"Rs 646,200.00",646200.0,LKR,Natural Blue Sapphire,1.2,EC,7.5 x 6 mm,Cornflower Blue,Oval,Heated,2025-09-01T11:51:54.600545+00:00
1.21ct Natural Blue Sapphire,"Rs 467,900.00",467900.0,LKR,Natural Blue Sapphire,1.21,EC,7.2 x 5.7 x 3.67 mm,Cornflower Blue,Oval,Heated,2025-09-01T11:52:01.062475+00:00
1.23ct Natural Blue Sapphire,"Rs 467,900.00",467900.0,LKR,Natural Blue Sapphire,1.23,EC,7 x 5.5 x 3.5 mm,Cornflower Blue,Oval,Heated,2025-09-01T11:52:06.570560+00:00
1.23ct Natural Blue Sapphire,"Rs 423,400.00",423400.0,LKR,Natural Blue Sapphire,1.23,EC,7.5 x 6.5 mm,Royal Blue,Oval,Heated,2025-09-01T11:52:11.979124+00:00
1.25ct Natural Blue Sapphire,"Rs 479,100.00",479100.0,LKR,Natural Blue Sapphire,1.25,EC,7 x 5.2 mm,Cornflower Blue,Oval,Heated,2025-09-01T11:52:18.020824+00:00
1.34ct Natural Blue Sapphire,"Rs 467,900.00",467900.0,LKR,Natural Blue Sapphire,1.34,EC,6.8 x 5.6 x 3.9mm,Cornflower Blue,Oval,Heated,2025-09-01T11:52:25.406400+00:00
1.34ct Natural Blue Sapphire,"Rs 512,500.00",512500.0,LKR,Natural Blue Sapphire,1.34,EC,7 x 6mm,Royal Blue,Oval,Heated,2025-09-01T11:52:31.308078+00:00
1.50ct Natural Blue Sapphire,"Rs 401,100.00",401100.0,LKR,Natural Blue Sapphire,1.5,EC,8.6 x 5.4 mm,Cornflower Blue,Oval,Heated,2025-09-01T11:52:37.899895+00:00
1.58ct Natural Blue Sapphire,"Rs 490,200.00",490200.0,LKR,Natural Blue Sapphire,1.58,LC,7.6 x 5.6 mm,Cornflower Blue,Oval,Heated,2025-09-01T11:52:45.613243+00:00
1.65ct Natural Blue Sapphire,"Rs 323,100.00",323100.0,LKR,Natural Blue Sapphire,1.65,LC,7.5 x 6.5 x 4mm,Dark Blue,Oval,Heated,2025-09-01T11:52:52.031565+00:00
1.69ct Natural Blue Sapphire,"Rs 1,927,200.00",1927200.0,LKR,Natural Blue Sapphire,1.69,EC,9 x 7 mm,Royal Blue,Oval,Heated,2025-09-01T11:52:58.788859+00:00
1.95ct Natural Blue Sapphire,"Rs 1,114,000.00",1114000.0,LKR,Natural Blue Sapphire,1.95,EC,7.5 x 5.6 x 4.8 mm,Royal Blue,Oval,Heated,2025-09-01T11:53:05.779858+00:00
2.01ct Natural Blue Sapphire,"Rs 802,100.00",802100.0,LKR,Natural Blue Sapphire,2.01,EC,9 x 6.4 x 4.1 mm,Blue,Oval,Heated,2025-09-01T11:53:13.380898+00:00
1.99ct Natural Blue Sapphire,"Rs 1,214,300.00",1214300.0,LKR,Natural Blue Sapphire,1.99,EC,8.41 x 6.6 x 3.99 mm,Royal Blue,Oval,Heated,2025-09-01T11:53:19.833933+00:00
2.05ct Natural Blue Sapphire,"Rs 1,247,700.00",1247700.0,LKR,Natural Blue Sapphire,2.05,EC,7 x 7.6 x 4.6 mm,Royal Blue,Oval,Heated,2025-09-01T11:53:25.783024+00:00
2.15ct Natural Blue Sapphire,"Rs 1,392,500.00",1392500.0,LKR,Natural Blue Sapphire,2.15,EC,8.6 x 6.6 x 4.4 mm,Cornflower Blue,Oval,Heated,2025-09-01T11:53:33.541768+00:00
