name,price_text,price_value,currency,url,gem_type,weight_carat,clarity,size_mm,colour,shape_cut,treatment,scraped_at,raw_description_text
1.64ct Natural  Blue Sapphire,"Rs 835,500.00",835500.0,LKR,https://wijayagems.com/products/1-64ct-natural-blue-sapphire-1,Natural Blue Sapphire,1.64,Eye Clean Size,5.5 mm,Royal Blue Shape,Round Brilliant cut,,2025-09-01T12:01:25.550734+00:00,"Gem type: Natural Blue Sapphire
Weight: 1.64 carat
Clarity: Eye Clean
Size:
5.5
mm
Colour: Royal
Blue
Shape & Cut: Round
Brilliant
cut ."
1.50ct Natural  Blue Sapphire,"Rs 512,500.00",512500.0,LKR,https://wijayagems.com/products/1-5ct-natural-blue-sapphire,Natural Blue Sapphire,1.50,Eye Clean Size,5.4 mm,Royal Blue Shape,Round Brilliant cut,,2025-09-01T12:01:31.910811+00:00,"Gem type: Natural Blue Sapphire
Weight: 1.50 carat
Clarity: Eye Clean
Size:
5.4
mm
Colour: Royal
Blue
Shape & Cut: Round
Brilliant
cut ."
1.12ct Pear Natural Blue Sapphire,"Rs 434,500.00",434500.0,LKR,https://wijayagems.com/products/1-12-ct-pear-natural-blue-sapphire,Natural blue sapphire,1.12,Clean Size,7.5 x 5.5 mm,Royal blue Shape,Pear shape Certificate,,2025-09-01T12:01:37.627084+00:00,"Gem type: Natural blue sapphire
Weight: 1.12 carat
Clarity: Clean
Size: 7.5 x 5.5 mm
Colour: Royal blue
Shape & Cut: Pear shape
Certificate: GGTL-88162-87 ."
1.13ct Pear Natural blue sapphire,"Rs 289,700.00",289700.0,LKR,https://wijayagems.com/products/1-13-ct-pear-natural-blue-sapphire-1,Natural blue sapphire,1.13,Clean Size,7.39 x 5.79 x 3.20 mm,Corn Flower Shape,Pear shape,,2025-09-01T12:01:44.237993+00:00,"Gem type: Natural blue sapphire
Weight: 1.13 carat
Clarity: Clean
Size: 7.39 x 5.79
x 3.20
mm
Colour: Corn Flower
Shape & Cut: Pear shape"
4.39ct Natural Blue Sapphire Pair,"Rs 2,227,800.00",2227800.0,LKR,https://wijayagems.com/products/4-39-ct-natural-blue-sapphire-pair,Natural Blue Sapphire,4.39,clean S ize,,Cornflower blue Shape,Oval Step cut,,2025-09-01T12:01:50.387998+00:00,"Gem type: Natural Blue Sapphire
Weight: 4.39  carat
Clarity:  clean
S
ize: 9.10 x 6.35 x 4.80 (mm)  - 9.4 x 6.50 x 3.90 (mm)
Colour: Cornflower blue
Shape & Cut: Oval Step cut ."
49.25ct Natural  Blue Sapphire 7x5mm oval & Pear shape,"Rs 1,997,100.00",1997100.0,LKR,https://wijayagems.com/products/copy-of-74-10ct-natural-blue-sapphire-6x4mm-oval-pear-shape,Natural Blue Sapphire,49.25,Eye Clean Size,7x5mm,Cornflower Blue,oval,,2025-09-01T12:01:59.309383+00:00,"Gem type: Natural Blue Sapphire
Weight:  49.25carat
Clarity: Eye Clean
Size:  7x5mm
Shape & Cut: oval & Pear Step
Colour: Cornflower Blue"
2.18ct Natural  Blue Sapphire,"Rs 2,227,800.00",2227800.0,LKR,https://wijayagems.com/products/2-18ct-natural-blue-sapphire,Natural Blue Sapphire,2.18,Eye Clean Size,8.8x7.05x4.9mm,Cornflower Blue Shape,Pear Step Certificate,,2025-09-01T12:02:07.392426+00:00,"Gem type: Natural Blue Sapphire
Weight: 2.18 carat
Clarity: Eye Clean
Size: 8.8x7.05x4.9mm
Colour: Cornflower Blue
Shape & Cut: Pear Step
Certificate: GF-14110782"
1.71ct Natural Blue Sapphire,"Rs 490,200.00",490200.0,LKR,https://wijayagems.com/products/1-71ct-natural-blue-sapphire-1,Natural Blue Sapphire,1.71,Eye Clean Size,6.30mm,Royal Blue Shape,Round Step,,2025-09-01T12:02:14.591201+00:00,"Gem type: Natural Blue Sapphire
Weight: 1.71carat
Clarity: Eye Clean
Size: 6.30mm
Colour: Royal Blue
Shape & Cut: Round Step"
2.37ct Natural Blue Sapphire,"Rs 1,971,800.00",1971800.0,LKR,https://wijayagems.com/products/2-37ct-natural-blue-sapphire,Natural Blue Sapphire,2.37,Eye clean S ize,,Cornflower Blue Shape,Pear,,2025-09-01T12:02:20.250070+00:00,"Gem type: Natural Blue Sapphire
Weight: 2.37 carat
Clarity: Eye clean
S
ize: 9.2x6.6x5.2mm
Colour: Cornflower Blue
Shape & Cut: Pear /Step Cut
Certificate: WG-692 ."
22.24ct Natural Blue Sapphire 4x3 Oval One lot,"Rs 334,200.00",334200.0,LKR,https://wijayagems.com/products/22-24ct-natural-blue-sapphire-4x3-oval-one-lot,Natural Blue Sapphire,22.24,Eye Clean Size,4x3mm,Light Blue Shape,Oval,,2025-09-01T12:02:26.858923+00:00,"Gem type: Natural Blue Sapphire
Weight: 22.24 carat
Clarity: Eye Clean
Size: 4x3mm
Colour: Light Blue
Shape & Cut: Oval /Pear Step"
22.80ct Natural Blue Sapphire,"Rs 534,800.00",534800.0,LKR,https://wijayagems.com/products/22-80ct-natural-blue-sapphire,Natural Blue Sapphire,15.06,Eye Clean Size,4x3mm,Medium Blue Shape,Oval,,2025-09-01T12:02:34.127945+00:00,"Gem type: Natural Blue Sapphire
Weight: 15.06 carat
Clarity: Eye Clean
Size: 4x3mm
Colour: Medium Blue
Shape & Cut: Oval /Pear Step"
2.57ct Natural Blue Sapphire,"Rs 735,300.00",735300.0,LKR,https://wijayagems.com/products/2-57ct-natural-blue-sapphire,Natural Blue Sapphire,2.57,Eye clean S ize,,Medium Blue Shape,Square Princess cut,,2025-09-01T12:02:41.530336+00:00,"Gem type: Natural Blue Sapphire
Weight: 2.57 carat
Clarity: Eye clean
S
ize: 6x6mm
Colour: Medium Blue
Shape & Cut: Square Princess cut"
2.69ct Natural Blue Sapphire Pair,"Rs 1,804,700.00",1804700.0,LKR,https://wijayagems.com/products/2-69ct-natural-blue-sapphire-pair,Natural Blue Sapphire,2.69,Eye clean S ize,,Medium Blue Shape,Oval Mixed Treatment,Unheated Certificate,2025-09-01T12:02:49.744214+00:00,"Gem type: Natural Blue Sapphire
Weight: 2.69 carat
Clarity: Eye clean
S
ize: 7.72x6.28x3.43mm -7.68x6.57x3.14mm
Colour: Medium Blue
Shape & Cut: Oval Mixed
Treatment: Unheated
Certificate: WG420 ."
1.73ct Natural Unheated Blue Sapphire,"Rs 534,800.00",534800.0,LKR,https://wijayagems.com/products/1-73ct-natural-unheated-blue-sapphire-1,Natural Unheated Blue Sapphire,1.73,Loupe Clean Size,6.9 x 5.7 x 4.8mm,Good Colour Shape,Cushion Treatment,Unheated Certificate,2025-09-01T12:02:57.784653+00:00,"Gem type: Natural Unheated Blue Sapphire
Weight: 1.73 carat
Clarity: Loupe Clean
Size: 6.9 x 5.7 x 4.8mm
Colour: Good Colour
Shape & Cut: Cushion
Treatment: Unheated
Certificate: WG-430"
